0,Null Event,,,,,
1,Central African Bush War,geopolitical,2004-11-01,2007-04-30,CAF,2005.0
2,Seleka take over towns,geopolitical,2012-11-01,2012-11-30,CAF,2005.0
3,Gay marriage legalized,geopolitical,2005-07-20,,CAN,2005.0
4,Ahmadinejad sworn into presidency,geopolitical,2005-06-01,2005-06-30,IRN,2005.0
5,2005 Iranian presidential election,geopolitical,2005-06-24,2005-06-24,IRN,2005.0
6,Chadian constitutional referendum,geopolitical,2005-06-06,2005-06-06,TCD,2005.0
7,Chadian civil war,geopolitical,2005-12-18,2010-01-15,TCD,2005.0
8,Hurricane Katrina,environmental,2005-08-01,2005-08-31,USA,2005.0
9,2006 Mexican general election,geopolitical,2006-07-02,2006-07-02,MEX,2006.0
10,Mexican drug war,geopolitical,2006-12-11,,MEX,2006.0
11,2006 Chadian presidential election,geopolitical,2006-05-03,2006-05-03,TCD,2006.0
12,Remants of Typhoon Xangsane,environmental,2006-10-02,2006-10-02,THA,2006.0
13,Heavy rainfall,environmental,2006-05-23,2006-05-23,THA,2006.0
14,2006 Ukrainian parliamentary election,geopolitical,2006-03-26,2006-03-26,UKR,2006.0
15,Tabasco flood,environmental,2007-10-01,2007-11-30,MEX,2007.0
16,2007 Malian parliamentary election,geopolitical,2007-07-01,2007-07-01,MLI,2007.0
17,2007 Malian presidential election,geopolitical,2007-04-29,2007-04-29,MLI,2007.0
18,2007 Ukrainian parliamentary election,geopolitical,2007-09-30,2007-09-30,UKR,2007.0
19,The Great Recession,geopolitical,2007-12-01,2009-06-30,USA,2007.0
20,Truth and Reconciliation Committee established,geopolitical,2008-06-01,,CAN,2008.0
21,Harper apologizes to residential school survivors,geopolitical,2008-06-11,,CAN,2008.0
22,2008 Iranian legislative election,geopolitical,2008-03-04,2008-04-25,IRN,2008.0
23,Battle of N¡¯Djamena,geopolitical,2008-02-02,2008-02-04,TCD,2008.0
24,2008 political crisis,geopolitical,2008-01-31,2008-12-02,THA,2008.0
25,2009 Iranian presidential election,geopolitical,2009-06-12,2009-06-12,IRN,2009.0
26,2009 Mexican legislative election,geopolitical,2009-07-05,2009-07-05,MEX,2009.0
27,Barack Obama presidency,geopolitical,2009-01-01,2017-01-31,USA,2009.0
28,Zahedan bombings,geopolitical,2010-07-15,2010-07-15,IRN,2010.0
29,Damghan earthquake,environmental,2010-08-27,2010-08-27,IRN,2010.0
30,Thai military crackdown,geopolitical,2010-04-01,2010-05-31,THA,2010.0
31,2010 Ukrainian presidential election,geopolitical,2010-01-17,2010-01-17,UKR,2010.0
32,Deepwater Horizon drilling rig explosion,environmental,2010-04-01,2010-04-30,USA,2010.0
33,2011 Central African general election,geopolitical,2011-01-23,2011-01-23,CAF,2011.0
34,Bid Kaneh explosion,geopolitical,2011-11-12,2011-11-12,IRN,2011.0
35,2011¨C2012 Iranian protests,geopolitical,2011-02-14,2011-02-14,IRN,2011.0
36,Mexican fire season,environmental,2011-01-01,2011-05-31,MEX,2011.0
37,Groundhog day blizzard,environmental,2011-01-31,2011-02-03,MEX,2011.0
38,State election,geopolitical,2011-02-06,2011-02-06,MEX,2011.0
39,2011 Chadian parliamentary election,geopolitical,2011-02-13,2011-02-13,TCD,2011.0
40,2011 Chadian presidential election,geopolitical,2011-04-25,2011-04-25,TCD,2011.0
41,widespread flooding,environmental,2011-07-01,2012-01-31,THA,2011.0
42,Killing of Osama bin Laden,geopolitical,2011-05-01,2011-05-31,USA,2011.0
43,Central African Republic Civil War,geopolitical,2012-12-01,,CAF,2012.0
44,Quebec student protests,geopolitical,2012-02-13,2012-09-07,CAN,2012.0
45,The Royal Mint strikes the last penny,geopolitical,2012-05-04,,CAN,2012.0
46,East Azerbaijan earthquakes,environmental,2012-08-11,2012-08-11,IRN,2012.0
47,2012 Mexican general election,geopolitical,2012-07-01,2012-07-01,MEX,2012.0
48,Mali war,geopolitical,2012-01-16,,MLI,2012.0
49,Tuareg rebellion,geopolitical,2012-01-16,2012-04-06,MLI,2012.0
50,Malian coup d'¨¦tat,geopolitical,2012-03-21,2012-03-21,MLI,2012.0
51,2012 Ukrainian parliamentary election,geopolitical,2012-10-28,2012-10-28,UKR,2012.0
52,Hurricane Sandy,environmental,2012-10-01,2012-11-30,USA,2012.0
53,Sandy Hook school shooting,geopolitical,2012-12-01,2012-12-31,USA,2012.0
54,Seleka take control of the capital,geopolitical,2013-03-01,2013-03-31,CAF,2013.0
55,2013 Malian parliamentary election,geopolitical,2013-11-24,2013-11-24,MLI,2013.0
56,2013 Malian presidential election,geopolitical,2013-07-28,2013-07-28,MLI,2013.0
57,2013-2014 Thai political crisis,geopolitical,2013-10-31,2014-05-22,THA,2013.0
58,Boston Marathon bombing,geopolitical,2013-04-01,2013-04-30,USA,2013.0
59,Catherine Samba-Panza presidency,geopolitical,2014-01-01,2016-03-31,CAF,2014.0
60,ex-Seleka and anti-balaka sign ceasefire agreement,geopolitical,2014-07-01,2014-07-31,CAF,2014.0
61,"Thai coup d'¨¦tat, geopolitical",geopolitical,2014-05-22,2014-05-22,THA,2014.0
62,"Military junta, geopolitical",geopolitical,2014-05-22,2019-07-16,THA,2014.0
63,Mae Lao earthquake,environmental,2014-05-05,2014-05-05,THA,2014.0
64,Vrancea earthquake,environmental,2014-11-22,2014-11-22,UKR,2014.0
65,2014 Ukrainian parliamentary election,geopolitical,2014-10-26,2014-10-26,UKR,2014.0
66,2014 Ukrainian presidential election,geopolitical,2014-05-25,2014-05-25,UKR,2014.0
67,Seleka rebel leaders declare Republic of Logone,geopolitical,2015-12-01,2015-12-31,CAF,2015.0
68,N'Djamena bombings,geopolitical,2015-06-15,2015-07-11,TCD,2015.0
69,Same-sex marriage legalization,geopolitical,2015-06-01,2015-06-30,USA,2015.0
70,Touadera sworn into office,geopolitical,2016-03-01,2016-03-31,CAF,2016.0
71,Fort McMurray Wildfire,environmental,2016-05-01,2016-06-14,CAN,2016.0
72,2016 Chadian presidential election,geopolitical,2016-04-10,2016-04-10,TCD,2016.0
73,Maha Vajiralongkorn reign,geopolitical,2016-12-01,,THA,2016.0
74,Tehran attacks,geopolitical,2017-06-07,2017-06-07,IRN,2017.0
75,Chiapas earthquake,environmental,2017-09-07,2017-09-07,MEX,2017.0
76,Puebla earthquake,environmental,2017-09-19,2017-09-19,MEX,2017.0
77,Gao bombing,geopolitical,2017-01-18,2017-01-18,MLI,2017.0
78,Donald Trump presidency,geopolitical,2017-01-01,2021-01-31,USA,2017.0
79,Eastern Canada heat wave,environmental,2018-07-01,2018-07-01,CAN,2018.0
80,The Cannabis act legalizes marijuana,geopolitical,2018-10-17,,CAN,2018.0
81,2018 Malian presidential election,geopolitical,2018-07-29,2018-07-29,MLI,2018.0
82,Widespread floods,environmental,2019-08-01,2019-08-31,CAF,2019.0
83,2019 Ukrainian parliamentary election,geopolitical,2019-07-21,2019-07-21,UKR,2019.0
84,2019 Ukrainian presidential election,geopolitical,2019-03-31,2019-04-21,UKR,2019.0
85,Pipeline and railway protests,geopolitical,2020-01-07,2020-03-31,CAN,2020.0
86,Start of COVID19 Pandemic,environmental,2020-01-15,,CAN,2020.0
87,2020 Malian parliamentary election,geopolitical,2020-03-29,2020-03-29,MLI,2020.0
88,Operation Boma's Wrath,geopolitical,2020-03-31,2020-04-09,TCD,2020.0
89,African sahel floods,environmental,2020-08-01,2020-09-30,TCD,2020.0
90,2020 Ukrainian local elections,geopolitical,2020-10-25,2020-10-25,UKR,2020.0
