1,1,1,1,1,1,1,0.336,0.276,0.362
1,1,1,1,1,1,2,0.336,0.276,0.362
1,2,2,2,2,2,3,0.894,0.847,0.91
1,3,3,3,3,3,4,0.683,0.552,0.723
1,3,3,3,3,3,5,0.683,0.552,0.723
1,4,4,4,4,4,5,0.737,0.604,0.78
1,5,5,5,5,5,5,0.367,0.226,0.445
1,6,6,6,6,6,6,0.327,0.202,0.395
1,6,6,6,6,6,7,0.327,0.202,0.395
1,7,7,7,7,7,7,0.696,0.585,0.72
1,8,8,8,8,8,7,0.738,0.776,0.708
1,9,9,9,9,9,8,0.9,0.862,0.953
2,10,10,10,10,10,8,0.342,0.282,0.366
2,11,11,11,11,11,8,0.898,0.85,0.915
2,12,12,12,12,12,8,0.719,0.633,0.729
2,13,13,13,13,13,9,0.745,0.62,0.785
2,13,13,13,13,13,10,0.745,0.62,0.785
2,14,14,14,14,14,10,0.376,0.237,0.446
2,15,15,15,15,15,11,0.33,0.212,0.38
2,16,16,16,16,16,12,0.697,0.576,0.728
2,16,16,16,16,16,13,0.697,0.576,0.728
2,17,17,17,17,17,14,0.744,0.781,0.719
2,18,18,18,18,18,14,0.903,0.865,0.956
3,19,19,19,19,19,14,0.347,0.288,0.369
3,20,20,20,20,20,14,0.896,0.833,0.924
3,21,21,21,21,21,14,0.723,0.631,0.739
3,22,22,22,22,22,15,0.746,0.621,0.786
3,23,23,23,23,23,16,0.371,0.222,0.446
3,23,23,23,23,23,17,0.371,0.222,0.446
3,24,24,24,24,24,17,0.34,0.222,0.393
3,25,25,25,25,25,17,0.714,0.607,0.736
3,26,26,26,26,26,18,0.751,0.784,0.732
3,27,27,27,27,27,19,0.906,0.869,0.958
4,28,28,28,28,28,19,0.352,0.294,0.369
4,29,29,29,29,29,20,0.898,0.836,0.924
4,29,29,29,29,29,21,0.898,0.836,0.924
4,30,30,30,30,30,22,0.728,0.64,0.738
4,31,31,31,31,31,22,0.748,0.627,0.786
4,32,32,32,32,32,22,0.394,0.26,0.449
4,33,33,33,33,33,23,0.346,0.232,0.388
4,34,34,34,34,34,24,0.718,0.611,0.737
4,35,35,35,35,35,24,0.755,0.786,0.736
4,36,36,36,36,36,24,0.911,0.882,0.957
5,37,37,37,37,37,24,0.356,0.296,0.371
5,38,38,38,38,38,24,0.898,0.838,0.918
5,39,39,39,39,39,25,0.734,0.651,0.738
5,40,40,40,40,40,26,0.748,0.637,0.775
5,41,41,41,41,41,26,0.401,0.27,0.449
5,42,42,42,42,42,26,0.361,0.246,0.41
5,43,43,43,43,43,26,0.722,0.618,0.735
5,44,44,44,44,44,26,0.749,0.787,0.711
5,45,45,45,45,45,27,0.912,0.887,0.951
6,46,46,46,46,46,27,0.365,0.307,0.378
6,47,47,47,47,47,27,0.901,0.842,0.92
6,48,48,48,48,48,28,0.742,0.662,0.744
6,48,48,48,48,48,29,0.742,0.662,0.744
6,49,49,49,49,49,29,0.748,0.634,0.781
6,50,50,50,50,50,29,0.408,0.277,0.453
6,51,51,51,51,51,29,0.369,0.249,0.425
6,52,52,52,52,52,30,0.724,0.611,0.744
6,53,53,53,53,53,31,0.755,0.788,0.718
6,54,54,54,54,54,32,0.916,0.892,0.954
7,55,55,55,55,55,33,0.374,0.317,0.383
7,56,56,56,56,56,33,0.903,0.842,0.923
7,57,57,57,57,57,34,0.753,0.684,0.747
7,57,57,57,57,57,35,0.753,0.684,0.747
7,58,58,58,58,58,36,0.755,0.649,0.784
7,58,58,58,58,58,37,0.755,0.649,0.784
7,58,58,58,58,58,38,0.755,0.649,0.784
7,59,59,59,59,59,38,0.413,0.283,0.453
7,60,60,60,60,60,39,0.38,0.269,0.421
7,60,60,60,60,60,40,0.38,0.269,0.421
7,61,61,61,61,61,41,0.733,0.626,0.748
7,62,62,62,62,62,41,0.76,0.787,0.725
7,63,63,63,63,63,42,0.919,0.897,0.956
8,64,64,64,64,64,43,0.381,0.322,0.39
8,65,65,65,65,65,44,0.906,0.849,0.925
8,65,65,65,65,65,45,0.906,0.849,0.925
8,66,66,66,66,66,46,0.768,0.731,0.734
8,67,67,67,67,67,47,0.759,0.658,0.787
8,68,68,68,68,68,48,0.413,0.284,0.447
8,68,68,68,68,68,49,0.413,0.284,0.447
8,68,68,68,68,68,50,0.413,0.284,0.447
8,69,69,69,69,69,50,0.388,0.278,0.429
8,70,70,70,70,70,50,0.737,0.626,0.754
8,71,71,71,71,71,51,0.764,0.791,0.727
8,72,72,72,72,72,52,0.92,0.898,0.958
8,72,72,72,72,72,53,0.92,0.898,0.958
9,73,73,73,73,73,54,0.363,0.329,0.321
9,74,74,74,74,74,54,0.913,0.864,0.927
9,75,75,75,75,75,54,0.771,0.738,0.732
9,76,76,76,76,76,54,0.756,0.652,0.785
9,77,77,77,77,77,55,0.413,0.279,0.447
9,77,77,77,77,77,56,0.413,0.279,0.447
9,78,78,78,78,78,56,0.394,0.286,0.429
9,79,79,79,79,79,57,0.734,0.615,0.755
9,80,80,80,80,80,57,0.767,0.791,0.727
9,81,81,81,81,81,58,0.918,0.891,0.96
10,82,82,82,82,82,59,0.368,0.334,0.321
10,82,82,82,82,82,60,0.368,0.334,0.321
10,83,83,83,83,83,60,0.918,0.874,0.929
10,84,84,84,84,84,60,0.774,0.738,0.736
10,85,85,85,85,85,60,0.761,0.661,0.788
10,86,86,86,86,86,60,0.419,0.285,0.454
10,87,87,87,87,87,60,0.401,0.295,0.435
10,88,88,88,88,88,61,0.742,0.629,0.758
10,88,88,88,88,88,62,0.742,0.629,0.758
10,88,88,88,88,88,63,0.742,0.629,0.758
10,89,89,89,89,89,64,0.771,0.8,0.726
10,89,89,89,89,89,65,0.771,0.8,0.726
10,89,89,89,89,89,66,0.771,0.8,0.726
10,90,90,90,90,90,66,0.92,0.892,0.962
11,91,91,91,91,91,67,0.375,0.339,0.327
11,92,92,92,92,92,67,0.921,0.88,0.93
11,93,93,93,93,93,67,0.774,0.739,0.732
11,94,94,94,94,94,67,0.766,0.672,0.791
11,95,95,95,95,95,67,0.417,0.274,0.459
11,96,96,96,96,96,68,0.398,0.283,0.437
11,97,97,97,97,97,68,0.749,0.64,0.762
11,98,98,98,98,98,68,0.765,0.791,0.714
11,99,99,99,99,99,69,0.921,0.893,0.965
12,100,100,100,100,100,70,0.382,0.345,0.332
12,101,101,101,101,101,71,0.923,0.884,0.93
12,102,102,102,102,102,71,0.784,0.747,0.749
12,103,103,103,103,103,71,0.768,0.677,0.793
12,104,104,104,104,104,71,0.422,0.278,0.462
12,105,105,105,105,105,72,0.393,0.278,0.424
12,106,106,106,106,106,73,0.756,0.65,0.767
12,107,107,107,107,107,73,0.768,0.792,0.719
12,108,108,108,108,108,73,0.922,0.896,0.966
13,109,109,109,109,109,73,0.391,0.352,0.342
13,110,110,110,110,110,73,0.926,0.889,0.933
13,111,111,111,111,111,74,0.787,0.749,0.752
13,112,112,112,112,112,75,0.771,0.681,0.795
13,112,112,112,112,112,76,0.771,0.681,0.795
13,113,113,113,113,113,77,0.427,0.282,0.465
13,114,114,114,114,114,77,0.396,0.288,0.416
13,115,115,115,115,115,77,0.765,0.665,0.773
13,116,116,116,116,116,77,0.771,0.794,0.725
13,117,117,117,117,117,78,0.924,0.899,0.969
14,118,118,118,118,118,78,0.395,0.353,0.345
14,119,119,119,119,119,79,0.928,0.893,0.934
14,119,119,119,119,119,80,0.928,0.893,0.934
14,120,120,120,120,120,80,0.785,0.75,0.742
14,121,121,121,121,121,80,0.776,0.694,0.796
14,122,122,122,122,122,81,0.431,0.286,0.469
14,123,123,123,123,123,81,0.397,0.29,0.414
14,124,124,124,124,124,81,0.772,0.675,0.778
14,125,125,125,125,125,81,0.774,0.792,0.731
14,126,126,126,126,126,81,0.925,0.899,0.973
15,127,127,127,127,127,82,0.397,0.353,0.347
15,128,128,128,128,128,82,0.929,0.894,0.934
15,129,129,129,129,129,82,0.783,0.756,0.729
15,130,130,130,130,130,82,0.779,0.703,0.794
15,131,131,131,131,131,82,0.434,0.286,0.472
15,132,132,132,132,132,82,0.398,0.288,0.415
15,133,133,133,133,133,82,0.777,0.682,0.783
15,134,134,134,134,134,83,0.779,0.799,0.738
15,134,134,134,134,134,84,0.779,0.799,0.738
15,135,135,135,135,135,84,0.926,0.9,0.976
16,136,136,136,136,136,84,0.397,0.353,0.347
16,137,137,137,137,137,85,0.929,0.894,0.934
16,137,137,137,137,137,86,0.929,0.894,0.934
16,138,138,138,138,138,86,0.783,0.756,0.729
16,139,139,139,139,139,86,0.779,0.703,0.794
16,140,140,140,140,140,87,0.434,0.286,0.472
16,141,141,141,141,141,88,0.398,0.288,0.415
16,141,141,141,141,141,89,0.398,0.288,0.415
16,142,142,142,142,142,89,0.777,0.682,0.783
16,143,143,143,143,143,90,0.779,0.799,0.738
16,144,144,144,144,144,90,0.926,0.9,0.976
